iter	Passed	Remaining
0	6	6226
1	12	6018
2	17	5825
3	23	5753
4	28	5689
5	33	5497
6	38	5490
7	44	5499
8	49	5476
9	55	5447
10	59	5387
11	65	5385
12	71	5394
13	76	5410
14	81	5383
15	87	5398
16	93	5408
17	97	5346
18	103	5364
19	109	5383
20	116	5417
21	122	5456
22	129	5479
23	135	5490
24	141	5500
25	146	5497
26	152	5501
27	158	5504
28	164	5504
29	170	5499
30	176	5509
31	182	5515
32	188	5511
33	194	5515
34	199	5512
35	205	5508
36	211	5506
37	217	5510
38	223	5514
39	229	5516
40	235	5516
41	242	5523
42	248	5526
43	254	5524
44	260	5519
45	266	5521
46	272	5516
47	277	5507
48	283	5504
49	288	5484
50	294	5481
51	300	5477
52	306	5472
53	312	5466
54	318	5468
55	323	5461
56	329	5457
57	335	5457
58	342	5454
59	348	5454
60	354	5454
61	360	5449
62	366	5447
63	372	5444
64	378	5443
65	384	5436
66	389	5430
67	396	5434
68	402	5434
69	408	5426
70	414	5423
71	418	5399
72	424	5390
73	430	5383
74	436	5378
75	441	5371
76	447	5366
77	453	5362
78	461	5375
79	466	5362
80	471	5348
81	476	5336
82	481	5324
83	487	5314
84	492	5305
85	498	5293
86	503	5282
87	508	5270
88	514	5261
89	519	5252
90	524	5239
91	530	5232
92	535	5224
93	540	5214
94	546	5204
95	551	5191
96	556	5179
97	561	5167
98	566	5156
99	571	5146
100	577	5135
101	582	5124
102	587	5115
103	592	5108
104	598	5097
105	603	5087
106	608	5080
107	613	5070
108	619	5062
109	624	5054
110	629	5043
111	635	5035
112	640	5024
113	645	5019
114	651	5013
115	657	5007
116	662	5001
117	667	4991
118	673	4983
119	678	4973
120	683	4965
121	688	4957
122	694	4951
123	699	4944
124	706	4945
125	716	4971
126	724	4980
127	731	4980
128	736	4974
129	741	4964
130	747	4957
131	753	4953
132	758	4944
133	763	4936
134	769	4927
135	774	4917
136	779	4909
137	784	4900
138	790	4897
139	796	4891
140	801	4881
141	804	4862
142	808	4844
143	813	4835
144	818	4826
145	823	4817
146	828	4809
147	833	4799
148	839	4792
149	842	4773
150	847	4764
151	852	4758
152	858	4751
153	863	4743
154	868	4735
155	873	4726
156	879	4719
157	884	4711
158	889	4703
159	894	4695
160	899	4686
161	904	4679
162	910	4673
163	914	4663
164	920	4655
165	925	4651
166	930	4642
167	936	4635
168	941	4628
169	946	4620
170	951	4613
171	956	4606
172	960	4591
173	966	4586
174	971	4580
175	976	4573
176	982	4566
177	987	4559
178	992	4552
179	998	4546
180	1003	4540
181	1008	4534
182	1013	4525
183	1018	4518
184	1024	4511
185	1029	4504
186	1034	4497
187	1039	4490
188	1044	4482
189	1050	4476
190	1055	4469
191	1061	4465
192	1066	4458
193	1071	4451
194	1076	4444
195	1082	4438
196	1087	4432
197	1092	4426
198	1098	4421
199	1103	4413
200	1109	4408
201	1115	4405
202	1120	4398
203	1125	4392
204	1131	4386
205	1136	4379
206	1141	4371
207	1146	4366
208	1151	4359
209	1156	4352
210	1162	4347
211	1168	4344
212	1175	4342
213	1181	4339
214	1187	4336
215	1193	4333
216	1200	4331
217	1206	4326
218	1212	4323
219	1219	4324
220	1226	4321
221	1232	4317
222	1237	4311
223	1242	4304
224	1248	4298
225	1253	4293
226	1259	4288
227	1264	4281
228	1270	4277
229	1276	4273
230	1281	4267
231	1287	4262
232	1293	4257
233	1298	4251
234	1304	4246
235	1309	4240
236	1315	4233
237	1320	4226
238	1326	4222
239	1331	4216
240	1337	4212
241	1343	4207
242	1348	4201
243	1354	4196
244	1360	4191
245	1365	4186
246	1371	4180
247	1378	4178
248	1385	4177
249	1392	4176
250	1398	4173
251	1405	4172
252	1412	4169
253	1418	4167
254	1425	4164
255	1432	4162
256	1438	4160
257	1446	4159
258	1452	4156
259	1459	4155
260	1467	4154
261	1474	4152
262	1481	4150
263	1488	4149
264	1495	4148
265	1503	4147
266	1510	4146
267	1517	4144
268	1524	4143
269	1531	4140
270	1537	4137
271	1544	4134
272	1551	4132
273	1558	4129
274	1565	4126
275	1572	4125
276	1580	4126
277	1588	4125
278	1596	4125
279	1603	4124
280	1611	4122
281	1618	4120
282	1625	4118
283	1632	4116
284	1639	4113
285	1646	4110
286	1653	4108
287	1660	4106
288	1667	4102
289	1674	4099
290	1681	4097
291	1688	4095
292	1695	4091
293	1703	4090
294	1710	4088
295	1717	4085
296	1724	4081
297	1731	4078
298	1737	4074
299	1744	4070
300	1751	4066
301	1758	4063
302	1764	4059
303	1771	4054
304	1777	4049
305	1783	4044
306	1789	4040
307	1796	4036
308	1803	4032
309	1810	4028
310	1816	4024
311	1822	4019
312	1829	4015
313	1836	4011
314	1842	4007
315	1849	4002
316	1856	3999
317	1862	3994
318	1869	3990
319	1875	3986
320	1882	3982
321	1889	3977
322	1894	3971
323	1901	3966
324	1907	3962
325	1914	3957
326	1919	3951
327	1925	3945
328	1931	3939
329	1937	3934
330	1943	3927
331	1950	3924
332	1957	3920
333	1963	3915
334	1969	3910
335	1976	3905
336	1982	3900
337	1988	3895
338	1994	3889
339	2001	3884
340	2008	3880
341	2014	3876
342	2021	3871
343	2027	3866
344	2033	3861
345	2039	3855
346	2045	3849
347	2050	3842
348	2056	3836
349	2062	3831
350	2069	3825
351	2075	3820
352	2081	3814
353	2087	3808
354	2092	3802
355	2099	3797
356	2105	3791
357	2110	3785
358	2116	3779
359	2123	3774
360	2129	3770
361	2136	3764
362	2143	3760
363	2149	3756
364	2156	3751
365	2162	3746
366	2169	3742
367	2176	3737
368	2182	3731
369	2188	3726
370	2195	3722
371	2202	3718
372	2209	3713
373	2215	3708
374	2221	3703
375	2228	3698
376	2235	3694
377	2241	3688
378	2248	3684
379	2255	3679
380	2262	3675
381	2269	3671
382	2276	3668
383	2283	3663
384	2290	3658
385	2296	3653
386	2303	3649
387	2310	3643
388	2316	3639
389	2323	3634
390	2330	3630
391	2337	3625
392	2344	3621
393	2351	3616
394	2357	3611
395	2364	3606
396	2371	3601
397	2378	3597
398	2384	3591
399	2391	3586
400	2397	3581
401	2404	3576
402	2411	3571
403	2417	3565
404	2423	3559
405	2428	3553
406	2434	3547
407	2440	3541
408	2447	3536
409	2452	3529
410	2458	3523
411	2464	3517
412	2470	3511
413	2475	3504
414	2481	3498
415	2487	3492
416	2493	3485
417	2498	3479
418	2504	3472
419	2509	3465
420	2514	3458
421	2520	3451
422	2525	3445
423	2530	3438
424	2536	3431
425	2542	3425
426	2548	3419
427	2553	3412
428	2559	3406
429	2565	3400
430	2571	3394
431	2576	3387
432	2581	3380
433	2587	3374
434	2593	3367
435	2598	3361
436	2604	3354
437	2609	3348
438	2614	3340
439	2619	3333
440	2624	3327
441	2629	3319
442	2634	3312
443	2639	3305
444	2644	3297
445	2649	3290
446	2654	3283
447	2659	3277
448	2664	3270
449	2669	3263
450	2674	3256
451	2679	3249
452	2684	3241
453	2689	3234
454	2694	3227
455	2699	3220
456	2704	3212
457	2708	3205
458	2714	3198
459	2718	3191
460	2723	3183
461	2727	3176
462	2733	3169
463	2737	3162
464	2742	3155
465	2747	3148
466	2752	3141
467	2757	3134
468	2762	3127
469	2767	3120
470	2772	3113
471	2776	3106
472	2781	3098
473	2786	3091
474	2790	3084
475	2795	3077
476	2801	3071
477	2806	3064
478	2811	3058
479	2816	3051
480	2821	3043
481	2825	3036
482	2830	3029
483	2835	3022
484	2839	3015
485	2844	3008
486	2849	3001
487	2853	2994
488	2858	2986
489	2863	2980
490	2868	2973
491	2873	2966
