,Name,City,Rating,Loc,Description,Adress,Link,Lat,Long
0,Royal Hôtel,Nimes,8.2,"Nimes City Centre, Nîmes","Situé au cœur de Nîmes, le Royal Hôtel dispose d'un restaurant sur place, La Bodéguita, qui s'ouvre sur la place Assas. ","1 place d'Assas, 30000 Nîmes, France",https://www.booking.com/hotel/fr/royal.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQKIAgGoAgO4AvuylaEGwAIB0gIkMjBiZDJlZWUtZjY0ZC00OWVlLWExZGQtMWQzN2NhYTA1NDA52AIF4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=c37b99902654042b&srepoch=1680299425&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,43.8388406,4.3538343
1,Logis NIMOTEL Hôtel Cosy,Nimes,7.5,Nîmes,Le Logis NIMOTEL Hôtel Cosy vous accueille à 1 km de l’autoroute A9 et à 10 minutes en voiture du centre-ville de Nîmes. ,"152 Rue Claude Nicolas Ledoux, 30900 Nîmes, France",https://www.booking.com/hotel/fr/nimotel.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQKIAgGoAgO4AvuylaEGwAIB0gIkMjBiZDJlZWUtZjY0ZC00OWVlLWExZGQtMWQzN2NhYTA1NDA52AIF4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=c37b99902654042b&srepoch=1680299425&from=searchresults#hotelTmpl,43.81558,4.3468192
2,Appart'City Confort Nimes Arenes,Nimes,8.6,Nîmes,"L'Appart'City Confort Nîmes Arenes est situé dans le centre historique de Nîmes, à 1 minute à pied des arènes, à 300 mètres de la gare et à proximité d'un parking public souterrain. ","1 Boulevard De Bruxelles, 30000 Nîmes, France",https://www.booking.com/hotel/fr/appart-39-city-nimes.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQKIAgGoAgO4AvuylaEGwAIB0gIkMjBiZDJlZWUtZjY0ZC00OWVlLWExZGQtMWQzN2NhYTA1NDA52AIF4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=c37b99902654042b&srepoch=1680299425&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,43.833997,4.3625266
3,Empire Hôtel,Nimes,7.9,Nîmes,"L'Empire Hôtel est situé au cœur de Nîmes, en face de la cathédrale et à 800 mètres des arènes romaines. Une connexion Wi-Fi est disponible gratuitement. ","Boulevard Etienne Saintenac, 30000 Nîmes, France",https://www.booking.com/hotel/fr/empire-nimes.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQKIAgGoAgO4AvuylaEGwAIB0gIkMjBiZDJlZWUtZjY0ZC00OWVlLWExZGQtMWQzN2NhYTA1NDA52AIF4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=c37b99902654042b&srepoch=1680299425&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,43.8401222,4.3650027
4,Best Western Marquis de la Baume,Nimes,7.9,"Nimes City Centre, Nîmes","Situé dans le centre de la ville historique de Nîmes, le Best Western Marquis de la Baume occupe une maison de ville du XVIIe siècle, à seulement 3,7 km du parc des expositions de Nîmes et à 650...","21, rue Nationale, 30000 Nîmes, France",https://www.booking.com/hotel/fr/ha-tel-la-baume.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQKIAgGoAgO4AvuylaEGwAIB0gIkMjBiZDJlZWUtZjY0ZC00OWVlLWExZGQtMWQzN2NhYTA1NDA52AIF4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=c37b99902654042b&srepoch=1680299425&from=searchresults#hotelTmpl,43.8395921,4.3611166
5,L'idéal - Centre - Climatisation - Confort garanti,Nimes,8.4,"Nimes City Centre, Nîmes","Situé dans le centre de Nîmes, à seulement 13 km du parc des expositions et à 34 km de l'amphithéâtre d'Arles, l'appartement L'idéal - Centre - Climatisation - Confort garanti offre une vue sur la...","3 Rue des Fourbisseurs, 30000 Nîmes, France",https://www.booking.com/hotel/fr/ideal-centre-climatisation-confort-garanti.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQKIAgGoAgO4AvuylaEGwAIB0gIkMjBiZDJlZWUtZjY0ZC00OWVlLWExZGQtMWQzN2NhYTA1NDA52AIF4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=c37b99902654042b&srepoch=1680299425&from=searchresults#hotelTmpl,43.8364285,4.3610654
6,Kyriad Nîmes Ouest A9,Nimes,7.5,Nîmes,"Idéalement situé à 10 minutes en voiture du centre de Nîmes et à 2 km de la sortie 25 de l’autoroute A9, l’établissement 3 étoiles Kyriad Nîmes Ouest propose une connexion Wi-Fi à 20 Mb/s gratuite et...","Ville Active - 157 rue Tony Garnier, 30900 Nîmes, France",https://www.booking.com/hotel/fr/kyriad-na-r-mes-ouest.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQKIAgGoAgO4AvuylaEGwAIB0gIkMjBiZDJlZWUtZjY0ZC00OWVlLWExZGQtMWQzN2NhYTA1NDA52AIF4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=c37b99902654042b&srepoch=1680299425&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,
7,Novotel Atria Nimes Centre,Nimes,7.7,Nîmes,"Le Novotel Atria Nîmes Centre vous accueille dans le centre-ville de Nîmes, à quelques minutes de la gare, des célèbres arènes romaines et de la place principale. ","5 boulevard de Prague, 30000 Nîmes, France",https://www.booking.com/hotel/fr/atria-nimes-centre.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQKIAgGoAgO4AvuylaEGwAIB0gIkMjBiZDJlZWUtZjY0ZC00OWVlLWExZGQtMWQzN2NhYTA1NDA52AIF4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=c37b99902654042b&srepoch=1680299425&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,43.834179,4.3616547
8,HÔTEL C SUITES chambres spacieuses,Nimes,7.1,Nîmes,"L’HÔTEL C SUITES chambres spacieuses est un complexe urbain installé à Nîmes, à seulement 3 km des arènes. ","152 rue claude nicolas ledoux, 30900 Nîmes, France",https://www.booking.com/hotel/fr/c-suites.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQKIAgGoAgO4AvuylaEGwAIB0gIkMjBiZDJlZWUtZjY0ZC00OWVlLWExZGQtMWQzN2NhYTA1NDA52AIF4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=c37b99902654042b&srepoch=1680299425&from=searchresults#hotelTmpl,43.81558,4.3468192
9,La chambre haute et son spa,Nimes,9.7,Nîmes,"Doté d'un jardin, l'établissement La chambre haute et son spa est situé à Nîmes, à 6 km du parc des expositions, à 3,3 km de la cathédrale et à 3,5 km de l'école des beaux-arts. ","90 Chemin Haut de Roulan, 30000 Nîmes, France",https://www.booking.com/hotel/fr/la-chambre-haute.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQKIAgGoAgO4AvuylaEGwAIB0gIkMjBiZDJlZWUtZjY0ZC00OWVlLWExZGQtMWQzN2NhYTA1NDA52AIF4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=c37b99902654042b&srepoch=1680299425&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,43.8632992,4.3642846
10,Roma Divine home cinéma et jardin,Nimes,9.8,Nîmes,"Situé à Nîmes, à moins de 13 km du parc des expositions et à 34 km de l'amphithéâtre d'Arles, le Roma Divine home cinéma et jardin propose des hébergements avec une connexion Wi-Fi gratuite, la...","Rez de chaussée 12 Rue Monjardin, 30000 Nîmes, France",https://www.booking.com/hotel/fr/roma-divine-home-cinema-jardinet-hyper-centre.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQKIAgGoAgO4AvuylaEGwAIB0gIkMjBiZDJlZWUtZjY0ZC00OWVlLWExZGQtMWQzN2NhYTA1NDA52AIF4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=c37b99902654042b&srepoch=1680299425&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,
11,Hôtel De L'Amphithéâtre,Nimes,8.2,"Nimes City Centre, Nîmes","Situé dans la zone piétonne du centre historique de Nîmes, l'Hôtel De L'Amphithéâtre est composé de 2 hôtels particuliers datant des XVIIe et XVIIIe siècles. ","4 Rue Des Arènes, 30000 Nîmes, France",https://www.booking.com/hotel/fr/de-l-amphitheatre-nimes.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQKIAgGoAgO4AvuylaEGwAIB0gIkMjBiZDJlZWUtZjY0ZC00OWVlLWExZGQtMWQzN2NhYTA1NDA52AIF4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=c37b99902654042b&srepoch=1680299425&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,
