,City,Lat,Long,score_7_days,mean_temperature_7_days,most_freq_weather_7_days,mean_prob_of_rain_7_days
0,Collioure,42.52505,3.0831554,15.995000000000001,16.57,Clouds,0.057499999999999996
1,Nimes,43.8374249,4.3600687,15.965,16.1025,Clouds,0.013750000000000002
2,Aix en Provence,43.5298424,5.4474738,15.53375,15.57125,Clouds,0.0037500000000000007
3,Bormes les Mimosas,43.1506968,6.3419285,15.36625,15.44125,Clouds,0.0075
4,Aigues Mortes,43.5658225,4.1912837,15.18375,15.25875,Clouds,0.0075
5,Avignon,43.9492493,4.8059012,15.117500000000001,15.705000000000002,Clouds,0.058750000000000004
6,Cassis,43.2140359,5.5396318,15.0675,15.0675,Clouds,0.0
7,Uzes,44.0121279,4.4196718,15.035,15.335,Clouds,0.030000000000000006
8,Marseille,43.2961743,5.3699525,15.035,15.035,Clouds,0.0
9,Saintes Maries de la mer,43.4522771,4.4287172,14.70375,14.716249999999999,Clouds,0.00125
10,Gorges du Verdon,43.7496562,6.3285616,12.39875,13.08625,Clouds,0.06875
11,Bayonne,43.4945144,-1.4736657,11.735,14.834999999999999,Clouds,0.30999999999999994
12,Carcassonne,43.2130358,2.3491069,11.445,14.2075,Clouds,0.27625
13,Montauban,44.0175835,1.3549991,11.3925,14.18,Clouds,0.27874999999999994
14,Toulouse,43.6044622,1.4442469,11.0425,13.6175,Clouds,0.2575
15,Biarritz,43.471143749999996,-1.552726590666314,10.9775,14.0275,Clouds,0.305
19,Ariege,42.9455368,1.4065544156065486,5.593749999999999,8.23125,Clouds,0.26375000000000004
