,City,Lat,Long,score_7_days,mean_temperature_7_days,most_freq_weather_7_days,mean_prob_of_rain_7_days
0,Collioure,42.52505,3.0831554,15.995000000000001,16.57,Clouds,0.057499999999999996
1,Nimes,43.8374249,4.3600687,15.965,16.1025,Clouds,0.013750000000000002
2,Aix en Provence,43.5298424,5.4474738,15.53375,15.57125,Clouds,0.0037500000000000007
3,Bormes les Mimosas,43.1506968,6.3419285,15.36625,15.44125,Clouds,0.0075
4,Aigues Mortes,43.5658225,4.1912837,15.18375,15.25875,Clouds,0.0075
5,Avignon,43.9492493,4.8059012,15.117500000000001,15.705000000000002,Clouds,0.058750000000000004
6,Cassis,43.2140359,5.5396318,15.0675,15.0675,Clouds,0.0
7,Uzes,44.0121279,4.4196718,15.035,15.335,Clouds,0.030000000000000006
8,Marseille,43.2961743,5.3699525,15.035,15.035,Clouds,0.0
9,Saintes Maries de la mer,43.4522771,4.4287172,14.70375,14.716249999999999,Clouds,0.00125
10,Gorges du Verdon,43.7496562,6.3285616,12.39875,13.08625,Clouds,0.06875
11,Bayonne,43.4945144,-1.4736657,11.735,14.834999999999999,Clouds,0.30999999999999994
12,Carcassonne,43.2130358,2.3491069,11.445,14.2075,Clouds,0.27625
13,Montauban,44.0175835,1.3549991,11.3925,14.18,Clouds,0.27874999999999994
14,Toulouse,43.6044622,1.4442469,11.0425,13.6175,Clouds,0.2575
15,Biarritz,43.471143749999996,-1.552726590666314,10.9775,14.0275,Clouds,0.305
16,La Rochelle,46.1591126,-1.1520434,8.342499999999998,12.067499999999999,Rain,0.37250000000000005
17,Lyon,45.7578137,4.8320114,6.621250000000001,12.73375,Rain,0.61125
18,Grenoble,45.1875602,5.7357819,6.285000000000001,12.435,Rain,0.615
19,Ariege,42.9455368,1.4065544156065486,5.593749999999999,8.23125,Clouds,0.26375000000000004
20,St Malo,48.649518,-2.0260409,4.768749999999999,11.29375,Rain,0.6525000000000001
21,Mont Saint Michel,48.6359541,-1.511459954959514,4.73375,11.37125,Rain,0.6637500000000001
22,Rouen,49.4404591,1.0939658,4.6875,11.425,Rain,0.6737500000000001
23,Bayeux,49.2764624,-0.7024738,4.465000000000001,11.2025,Rain,0.67375
24,Paris,48.8534951,2.3483915,3.8287500000000003,11.56625,Rain,0.7737499999999999
25,Dijon,47.3215806,5.0414701,3.313749999999999,10.46375,Rain,0.7150000000000001
26,Annecy,45.8992348,6.1288847,3.210000000000001,9.7725,Rain,0.65625
27,Amiens,49.8941708,2.2956951,3.147500000000001,10.1225,Rain,0.6975
28,Eguisheim,48.0447968,7.3079618,3.0600000000000005,10.21,Rain,0.7150000000000001
29,Colmar,48.0777517,7.3579641,2.97375,10.11125,Rain,0.71375
30,Le Havre,49.4938975,0.1079732,2.8875,9.2125,Rain,0.6325000000000001
31,Lille,50.6365654,3.0635282,2.57625,9.51375,Rain,0.69375
32,Besancon,47.2380222,6.0243622,2.5287500000000014,9.853750000000002,Rain,0.7325
33,Strasbourg,48.584614,7.7507127,1.83875,9.36375,Rain,0.7525
34,Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,-0.7737499999999997,6.60125,Rain,0.7375
